Sample	sequence_duplication_levels	adapter_content	Sequence length	Sequences flagged as poor quality	avg_sequence_length	kmer_content	Filename	Total Sequences	per_sequence_quality_scores	per_tile_sequence_quality	per_base_sequence_content	sequence_length_distribution	total_deduplicated_percentage	per_base_sequence_quality	%GC	per_base_n_content	per_sequence_gc_content	basic_statistics	overrepresented_sequences	File type	Encoding
Sample_PRO1322_PlateB_A8_R2_val_2	pass	pass	123-126	0.0	125.6	pass	Sample_PRO1322_PlateB_A8_R2_val_2.fq.gz	15.0	pass	pass	fail	warn	100.0	pass	33.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A9_R1_val_1	fail	pass	100-126	0.0	125.15609809729024	fail	Sample_PRO1322_PlateB_A9_R1_val_1.fq.gz	16717526.0	pass	pass	fail	warn	30.083216042678707	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A9_R2_val_2	fail	pass	100-126	0.0	125.22802327330012	fail	Sample_PRO1322_PlateB_A9_R2_val_2.fq.gz	16717526.0	pass	pass	fail	warn	30.08162993671502	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B10_R1_val_1	fail	pass	100-126	0.0	125.1196914852604	fail	Sample_PRO1322_PlateB_B10_R1_val_1.fq.gz	16930277.0	pass	pass	fail	warn	22.810059842618838	pass	37.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B10_R2_val_2	fail	pass	100-126	0.0	125.01991562217204	fail	Sample_PRO1322_PlateB_B10_R2_val_2.fq.gz	16930277.0	pass	pass	fail	warn	23.60395192300051	pass	37.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B11_R1_val_1	fail	pass	100-126	0.0	125.04027927404981	fail	Sample_PRO1322_PlateB_B11_R1_val_1.fq.gz	10989349.0	pass	pass	fail	warn	29.918188620781592	fail	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B11_R2_val_2	fail	pass	100-126	0.0	125.15162354021153	fail	Sample_PRO1322_PlateB_B11_R2_val_2.fq.gz	10989349.0	pass	pass	fail	warn	28.463147243820195	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B12_R1_val_1	fail	pass	100-126	0.0	124.87004181569436	fail	Sample_PRO1322_PlateB_B12_R1_val_1.fq.gz	12887984.0	pass	pass	fail	warn	33.39807120991024	fail	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B12_R2_val_2	fail	pass	100-126	0.0	124.99790409423227	fail	Sample_PRO1322_PlateB_B12_R2_val_2.fq.gz	12887984.0	pass	pass	fail	warn	32.374624719712244	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B1_R1_val_1	fail	pass	100-126	0.0	124.97926156339038	fail	Sample_PRO1322_PlateB_B1_R1_val_1.fq.gz	3979326.0	pass	pass	fail	warn	28.804765675260697	fail	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B1_R2_val_2	fail	pass	100-126	0.0	125.12690239502871	fail	Sample_PRO1322_PlateB_B1_R2_val_2.fq.gz	3979326.0	pass	pass	fail	warn	26.035612121547057	pass	34.0	pass	pass	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B2_R1_val_1	pass	pass	123-126	0.0	124.66666666666667	pass	Sample_PRO1322_PlateB_B2_R1_val_1.fq.gz	3.0	pass		fail	warn	100.0	pass	31.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B2_R2_val_2	pass	pass	124-126	0.0	125.0	pass	Sample_PRO1322_PlateB_B2_R2_val_2.fq.gz	3.0	pass		fail	warn	100.0	pass	29.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B3_R1_val_1	fail	pass	100-126	0.0	125.18787876663978	fail	Sample_PRO1322_PlateB_B3_R1_val_1.fq.gz	9131282.0	pass	pass	fail	warn	25.062852062378493	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B3_R2_val_2	fail	pass	100-126	0.0	125.12871938463843	fail	Sample_PRO1322_PlateB_B3_R2_val_2.fq.gz	9131282.0	pass	pass	fail	warn	25.44446169081202	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B4_R1_val_1	fail	pass	100-126	0.0	125.18080268941438	fail	Sample_PRO1322_PlateB_B4_R1_val_1.fq.gz	14225253.0	pass	pass	fail	warn	25.828104028053424	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B4_R2_val_2	fail	pass	100-126	0.0	125.24954993770585	fail	Sample_PRO1322_PlateB_B4_R2_val_2.fq.gz	14225253.0	pass	pass	fail	warn	25.282758578338655	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B5_R1_val_1	fail	pass	100-126	0.0	125.2262941516887	fail	Sample_PRO1322_PlateB_B5_R1_val_1.fq.gz	16073734.0	pass	pass	fail	warn	9.727605114221593	pass	36.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B5_R2_val_2	fail	pass	100-126	0.0	125.18157454888826	fail	Sample_PRO1322_PlateB_B5_R2_val_2.fq.gz	16073734.0	pass	pass	fail	warn	10.161486027058036	pass	36.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B6_R1_val_1	fail	pass	100-126	0.0	125.12550637800278	fail	Sample_PRO1322_PlateB_B6_R1_val_1.fq.gz	11609904.0	pass	pass	fail	warn	21.4651543634401	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B6_R2_val_2	fail	pass	100-126	0.0	125.07443567147497	fail	Sample_PRO1322_PlateB_B6_R2_val_2.fq.gz	11609904.0	pass	pass	fail	warn	21.879024580532832	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B7_R1_val_1	fail	pass	100-126	0.0	125.05202081162585	fail	Sample_PRO1322_PlateB_B7_R1_val_1.fq.gz	12480332.0	pass	pass	fail	warn	23.213043684707927	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B7_R2_val_2	fail	pass	100-126	0.0	125.18406112914303	fail	Sample_PRO1322_PlateB_B7_R2_val_2.fq.gz	12480332.0	pass	pass	fail	warn	22.006802654035333	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B8_R1_val_1	fail	pass	100-126	0.0	125.21054202991057	fail	Sample_PRO1322_PlateB_B8_R1_val_1.fq.gz	21137542.0	pass	pass	fail	warn	18.538537715713083	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B8_R2_val_2	fail	pass	100-126	0.0	125.10451872786344	fail	Sample_PRO1322_PlateB_B8_R2_val_2.fq.gz	21137542.0	pass	pass	fail	warn	19.406402205926806	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B9_R1_val_1	fail	pass	100-126	0.0	125.1525519759956	fail	Sample_PRO1322_PlateB_B9_R1_val_1.fq.gz	13643173.0	pass	pass	fail	warn	44.48515848200145	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_B9_R2_val_2	fail	pass	100-126	0.0	125.16700118073706	fail	Sample_PRO1322_PlateB_B9_R2_val_2.fq.gz	13643173.0	pass	pass	fail	warn	44.75452563830217	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C10_R1_val_1	fail	pass	100-126	0.0	125.08988329385875	fail	Sample_PRO1322_PlateB_C10_R1_val_1.fq.gz	15486760.0	pass	pass	fail	warn	48.74754303184123	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C10_R2_val_2	fail	pass	100-126	0.0	125.18096206049555	fail	Sample_PRO1322_PlateB_C10_R2_val_2.fq.gz	15486760.0	pass	pass	fail	warn	48.538439436624664	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C11_R1_val_1	fail	pass	100-126	0.0	125.09277434598735	fail	Sample_PRO1322_PlateB_C11_R1_val_1.fq.gz	15077002.0	pass	pass	fail	warn	24.22046127157121	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C11_R2_val_2	fail	pass	100-126	0.0	125.02698566996277	fail	Sample_PRO1322_PlateB_C11_R2_val_2.fq.gz	15077002.0	pass	pass	fail	warn	24.85601110366647	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C12_R1_val_1	fail	pass	100-126	0.0	124.99423333270025	fail	Sample_PRO1322_PlateB_C12_R1_val_1.fq.gz	13321039.0	pass	pass	fail	warn	32.1632277177271	fail	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C12_R2_val_2	fail	pass	100-126	0.0	125.13912998828394	fail	Sample_PRO1322_PlateB_C12_R2_val_2.fq.gz	13321039.0	pass	pass	fail	warn	29.41635029081332	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C1_R1_val_1	fail	pass	100-126	0.0	125.04253951527681	fail	Sample_PRO1322_PlateB_C1_R1_val_1.fq.gz	4331173.0	pass	pass	fail	warn	25.990423157658395	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C1_R2_val_2	fail	pass	100-126	0.0	125.06218269277169	fail	Sample_PRO1322_PlateB_C1_R2_val_2.fq.gz	4331173.0	pass	pass	fail	warn	25.573280826571594	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C2_R1_val_1	fail	pass	100-126	0.0	125.16783714373217	fail	Sample_PRO1322_PlateB_C2_R1_val_1.fq.gz	14944761.0	pass	pass	fail	warn	21.830735064244276	pass	32.0	pass	fail	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C2_R2_val_2	fail	pass	100-126	0.0	125.16212209750293	fail	Sample_PRO1322_PlateB_C2_R2_val_2.fq.gz	14944761.0	pass	pass	fail	warn	21.968204801940367	pass	32.0	pass	fail	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C3_R1_val_1	pass	pass	100-126	0.0	125.22160151449732	fail	Sample_PRO1322_PlateB_C3_R1_val_1.fq.gz	301090.0	pass	pass	fail	warn	82.4625617073794	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C3_R2_val_2	pass	pass	100-126	0.0	125.28248364276462	warn	Sample_PRO1322_PlateB_C3_R2_val_2.fq.gz	301090.0	pass	pass	fail	warn	82.28781467428468	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C4_R1_val_1	fail	pass	100-126	0.0	125.10171468348892	fail	Sample_PRO1322_PlateB_C4_R1_val_1.fq.gz	12466499.0	pass	pass	fail	warn	35.21948776965518	fail	32.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C4_R2_val_2	fail	pass	100-126	0.0	125.24697719865055	fail	Sample_PRO1322_PlateB_C4_R2_val_2.fq.gz	12466499.0	pass	pass	fail	warn	33.45110596794295	pass	32.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C6_R1_val_1	fail	pass	100-126	0.0	125.06202593486145	fail	Sample_PRO1322_PlateB_C6_R1_val_1.fq.gz	14213764.0	pass	pass	fail	warn	17.5203001017149	pass	36.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C6_R2_val_2	fail	pass	100-126	0.0	124.90083576735901	fail	Sample_PRO1322_PlateB_C6_R2_val_2.fq.gz	14213764.0	pass	pass	fail	warn	18.852084227495013	pass	36.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C7_R1_val_1	fail	pass	100-126	0.0	125.10694993890118	fail	Sample_PRO1322_PlateB_C7_R1_val_1.fq.gz	17029790.0	pass	pass	fail	warn	33.921811960716035	pass	34.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C7_R2_val_2	fail	pass	100-126	0.0	125.22507282826153	fail	Sample_PRO1322_PlateB_C7_R2_val_2.fq.gz	17029790.0	pass	pass	fail	warn	33.1122058467413	pass	34.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C8_R1_val_1	fail	pass	100-126	0.0	125.22157861789218	fail	Sample_PRO1322_PlateB_C8_R1_val_1.fq.gz	12803415.0	pass	pass	fail	warn	44.4798154740423	pass	37.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C8_R2_val_2	fail	pass	100-126	0.0	125.26997140997148	fail	Sample_PRO1322_PlateB_C8_R2_val_2.fq.gz	12803415.0	pass	pass	fail	warn	43.91486914541215	pass	37.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C9_R1_val_1	fail	pass	100-126	0.0	124.98562339797908	fail	Sample_PRO1322_PlateB_C9_R1_val_1.fq.gz	13745529.0	pass	pass	fail	warn	22.15885883047079	pass	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_C9_R2_val_2	fail	pass	100-126	0.0	124.94789374785067	fail	Sample_PRO1322_PlateB_C9_R2_val_2.fq.gz	13745529.0	pass	pass	fail	warn	22.220880071070408	pass	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D10_R1_val_1	fail	pass	100-126	0.0	125.06458334002262	fail	Sample_PRO1322_PlateB_D10_R1_val_1.fq.gz	13080618.0	pass	pass	fail	warn	19.044691341572367	pass	37.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D10_R2_val_2	fail	pass	100-126	0.0	125.08253088653763	fail	Sample_PRO1322_PlateB_D10_R2_val_2.fq.gz	13080618.0	pass	pass	fail	warn	18.16264681683727	pass	37.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D11_R1_val_1	fail	pass	100-126	0.0	125.1960702263852	fail	Sample_PRO1322_PlateB_D11_R1_val_1.fq.gz	18553995.0	pass	pass	fail	warn	24.218174956998705	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D11_R2_val_2	fail	pass	100-126	0.0	125.12291794839871	fail	Sample_PRO1322_PlateB_D11_R2_val_2.fq.gz	18553995.0	pass	pass	fail	warn	25.035679502465634	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D12_R1_val_1	fail	pass	100-126	0.0	125.04364904816417	fail	Sample_PRO1322_PlateB_D12_R1_val_1.fq.gz	15168372.0	pass	pass	fail	warn	28.591837120478036	fail	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D12_R2_val_2	fail	pass	100-126	0.0	125.15362769320267	fail	Sample_PRO1322_PlateB_D12_R2_val_2.fq.gz	15168372.0	pass	pass	fail	warn	27.770940617475738	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D1_R1_val_1	pass	pass	124-126	0.0	125.0	pass	Sample_PRO1322_PlateB_D1_R1_val_1.fq.gz	3.0	pass		fail	warn	100.0	pass	35.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D1_R2_val_2	pass	pass	124-125	0.0	124.66666666666667	pass	Sample_PRO1322_PlateB_D1_R2_val_2.fq.gz	3.0	pass		fail	warn	100.0	pass	40.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D2_R1_val_1	fail	pass	100-126	0.0	125.00254172879491	fail	Sample_PRO1322_PlateB_D2_R1_val_1.fq.gz	7249790.0	pass	pass	fail	warn	28.416581453588886	fail	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D2_R2_val_2	fail	pass	100-126	0.0	125.12377641283403	fail	Sample_PRO1322_PlateB_D2_R2_val_2.fq.gz	7249790.0	pass	pass	fail	warn	26.36831273283105	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D3_R1_val_1	warn	pass	100-126	0.0	125.2562745321585	fail	Sample_PRO1322_PlateB_D3_R1_val_1.fq.gz	368394.0	pass	pass	fail	warn	59.87531109245068	pass	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D3_R2_val_2	warn	pass	100-126	0.0	125.18579292822359	warn	Sample_PRO1322_PlateB_D3_R2_val_2.fq.gz	368394.0	pass	pass	fail	warn	60.582606307828854	pass	34.0	pass	fail	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D4_R1_val_1	fail	pass	100-126	0.0	125.25876941485707	fail	Sample_PRO1322_PlateB_D4_R1_val_1.fq.gz	17207505.0	pass	pass	fail	warn	11.052963591348226	pass	35.0	pass	fail	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D4_R2_val_2	fail	pass	100-126	0.0	125.18112521251628	fail	Sample_PRO1322_PlateB_D4_R2_val_2.fq.gz	17207505.0	pass	pass	fail	warn	11.731547696079346	pass	35.0	pass	fail	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D6_R1_val_1	pass	pass	100-126	0.0	124.8849614499332	warn	Sample_PRO1322_PlateB_D6_R1_val_1.fq.gz	124254.0	pass	pass	fail	warn	85.50266776253316	fail	36.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D6_R2_val_2	pass	pass	100-126	0.0	124.99151737569817	warn	Sample_PRO1322_PlateB_D6_R2_val_2.fq.gz	124254.0	pass	pass	fail	warn	84.88436679375633	pass	36.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D7_R1_val_1	fail	pass	100-126	0.0	124.96978251814305	fail	Sample_PRO1322_PlateB_D7_R1_val_1.fq.gz	10227060.0	pass	pass	fail	warn	21.093084496811645	pass	34.0	pass	pass	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D7_R2_val_2	fail	pass	100-126	0.0	125.04528574194343	fail	Sample_PRO1322_PlateB_D7_R2_val_2.fq.gz	10227060.0	pass	pass	fail	warn	20.150695356731248	pass	34.0	pass	pass	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D8_R1_val_1	fail	pass	100-126	0.0	125.23104177334737	fail	Sample_PRO1322_PlateB_D8_R1_val_1.fq.gz	17939046.0	pass	pass	fail	warn	33.09632228017994	pass	33.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D8_R2_val_2	fail	pass	100-126	0.0	125.26259183459365	fail	Sample_PRO1322_PlateB_D8_R2_val_2.fq.gz	17939046.0	pass	pass	fail	warn	32.9743883700944	pass	33.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D9_R1_val_1	fail	pass	100-126	0.0	125.2461511164082	fail	Sample_PRO1322_PlateB_D9_R1_val_1.fq.gz	16975377.0	pass	pass	fail	warn	24.504605171763664	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_D9_R2_val_2	fail	pass	100-126	0.0	125.18863133348968	fail	Sample_PRO1322_PlateB_D9_R2_val_2.fq.gz	16975377.0	pass	pass	fail	warn	24.943699447344912	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E10_R1_val_1	fail	pass	100-126	0.0	125.22240559650557	fail	Sample_PRO1322_PlateB_E10_R1_val_1.fq.gz	13466689.0	pass	pass	fail	warn	23.78659380870644	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E10_R2_val_2	fail	pass	100-126	0.0	125.12151576382287	fail	Sample_PRO1322_PlateB_E10_R2_val_2.fq.gz	13466689.0	pass	pass	fail	warn	24.77874817757093	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E11_R1_val_1	fail	pass	100-126	0.0	125.21046739005646	fail	Sample_PRO1322_PlateB_E11_R1_val_1.fq.gz	15983545.0	pass	pass	fail	warn	33.98599618842961	pass	33.0	pass	warn	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E11_R2_val_2	fail	pass	100-126	0.0	125.134128567849	fail	Sample_PRO1322_PlateB_E11_R2_val_2.fq.gz	15983545.0	pass	pass	fail	warn	35.1377758084108	pass	33.0	pass	warn	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E12_R1_val_1	fail	pass	100-126	0.0	125.11114252280116	fail	Sample_PRO1322_PlateB_E12_R1_val_1.fq.gz	12571399.0	pass	pass	fail	warn	13.51441627275408	pass	34.0	pass	warn	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E12_R2_val_2	fail	pass	100-126	0.0	125.02699675668555	fail	Sample_PRO1322_PlateB_E12_R2_val_2.fq.gz	12571399.0	pass	pass	fail	warn	14.252359625798782	pass	34.0	pass	warn	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E1_R1_val_1	fail	pass	100-126	0.0	125.29623839336347	fail	Sample_PRO1322_PlateB_E1_R1_val_1.fq.gz	15458182.0	pass	pass	fail	warn	17.528361706852856	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E1_R2_val_2	fail	pass	100-126	0.0	125.24803220715089	fail	Sample_PRO1322_PlateB_E1_R2_val_2.fq.gz	15458182.0	pass	pass	fail	warn	17.81168381869112	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E2_R1_val_1	fail	pass	100-126	0.0	125.01585011495715	fail	Sample_PRO1322_PlateB_E2_R1_val_1.fq.gz	8803280.0	pass	pass	fail	warn	29.988723014288244	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E2_R2_val_2	fail	pass	100-126	0.0	125.09793111204006	fail	Sample_PRO1322_PlateB_E2_R2_val_2.fq.gz	8803280.0	pass	pass	fail	warn	28.822290727741457	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E3_R1_val_1	fail	pass	100-126	0.0	124.72084558315483	fail	Sample_PRO1322_PlateB_E3_R1_val_1.fq.gz	2105813.0	pass	pass	fail	warn	32.39312588110331	fail	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E3_R2_val_2	fail	pass	100-126	0.0	124.78898838595829	fail	Sample_PRO1322_PlateB_E3_R2_val_2.fq.gz	2105813.0	pass	pass	fail	warn	31.392383086300207	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E4_R1_val_1	fail	pass	100-126	0.0	125.15235678226757	fail	Sample_PRO1322_PlateB_E4_R1_val_1.fq.gz	14670617.0	pass	pass	fail	warn	21.120523205115333	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E4_R2_val_2	fail	pass	100-126	0.0	125.16042454110826	fail	Sample_PRO1322_PlateB_E4_R2_val_2.fq.gz	14670617.0	pass	pass	fail	warn	20.854382046425798	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E5_R1_val_1	fail	pass	100-126	0.0	125.15186604095443	fail	Sample_PRO1322_PlateB_E5_R1_val_1.fq.gz	17777075.0	pass	pass	fail	warn	19.79830031915951	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E5_R2_val_2	fail	pass	100-126	0.0	125.14699094198568	fail	Sample_PRO1322_PlateB_E5_R2_val_2.fq.gz	17777075.0	pass	pass	fail	warn	19.809134808093336	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E6_R1_val_1	fail	pass	100-126	0.0	125.13551587157025	fail	Sample_PRO1322_PlateB_E6_R1_val_1.fq.gz	28959737.0	pass	pass	fail	warn	15.556991731933891	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E6_R2_val_2	fail	pass	100-126	0.0	125.1550439494668	fail	Sample_PRO1322_PlateB_E6_R2_val_2.fq.gz	28959737.0	pass	pass	fail	warn	15.694820252418214	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E7_R1_val_1	fail	pass	100-126	0.0	125.00221154907	fail	Sample_PRO1322_PlateB_E7_R1_val_1.fq.gz	16831641.0	pass	pass	fail	warn	19.960139850029236	pass	33.0	pass	pass	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E7_R2_val_2	fail	pass	100-126	0.0	125.10637447649935	fail	Sample_PRO1322_PlateB_E7_R2_val_2.fq.gz	16831641.0	pass	pass	fail	warn	19.71275461873145	pass	33.0	pass	pass	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E8_R1_val_1	fail	pass	100-126	0.0	125.21392155925193	fail	Sample_PRO1322_PlateB_E8_R1_val_1.fq.gz	19052521.0	pass	pass	fail	warn	23.948359930435338	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E8_R2_val_2	fail	pass	100-126	0.0	125.091439500316	fail	Sample_PRO1322_PlateB_E8_R2_val_2.fq.gz	19052521.0	pass	pass	fail	warn	24.840358435873718	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
